person_age,person_gender,person_education,person_income,person_employment_experience,person_home_ownership,loan_amount,loan_intent,loan_interest_rate,credit_history_length,credit_score,previous_loan_defaults,loan_status
21,female,high_school,15307.0,0,own,3000.0,education,13.61,3.0,557,no,1
23,female,associate,79183.0,0,rent,22500.0,education,7.9,2.0,677,no,1
26,male,bachelor,102654.0,4,rent,22500.0,venture,7.49,3.0,690,no,1
26,male,associate,15229.0,1,own,6100.0,education,7.51,3.0,599,no,1
22,male,high_school,106566.0,0,rent,22500.0,venture,9.91,3.0,604,no,1
21,female,bachelor,15252.0,0,own,4200.0,personal,13.48,4.0,663,no,1
22,male,bachelor,15432.0,3,own,4750.0,debt_consolidation,7.14,2.0,601,no,1
24,male,high_school,100332.0,1,rent,22500.0,venture,15.99,4.0,634,no,1
24,male,bachelor,162994.25,2,rent,18000.0,education,12.98,3.0,671,no,0
25,female,bachelor,121062.0,1,rent,22500.0,debt_consolidation,12.69,3.0,622,no,0
26,male,associate,133372.0,1,rent,22500.0,education,8.9,2.0,538,yes,0
26,male,bachelor,15505.0,0,own,2700.0,debt_consolidation,11.01,4.0,587,no,1
22,male,master,130852.0,0,rent,22500.0,education,11.01,4.0,683,no,1
24,female,bachelor,83853.0,3,rent,22500.0,home_improvement,11.01,2.0,690,no,1
21,female,bachelor,15394.0,0,mortgage,3250.0,debt_consolidation,15.68,3.0,518,no,1
22,female,bachelor,85243.0,0,rent,22500.0,education,13.06,3.0,583,no,1
26,male,associate,89074.0,4,rent,22500.0,venture,15.62,2.0,668,no,1
24,male,master,100509.0,2,rent,22500.0,personal,13.49,2.0,673,no,1
24,male,high_school,88950.0,3,rent,22500.0,venture,11.01,3.0,706,no,1
23,female,high_school,75894.0,1,rent,22500.0,medical,11.71,2.0,536,no,1
23,male,associate,145092.0,0,rent,22500.0,education,12.69,3.0,557,yes,0
24,female,bachelor,15928.0,1,own,1600.0,medical,13.57,3.0,689,yes,0
22,male,bachelor,73131.0,3,rent,22500.0,venture,10.99,3.0,681,no,1
25,male,master,162994.25,4,mortgage,20000.0,medical,14.27,4.0,623,yes,0
24,female,associate,162994.25,0,own,20000.0,home_improvement,8.88,4.0,595,yes,0
26,male,bachelor,162994.25,1,mortgage,21600.0,home_improvement,12.18,3.0,584,yes,0
25,male,bachelor,162994.25,4,mortgage,11900.0,debt_consolidation,14.42,3.0,669,no,1
23,male,associate,100756.0,0,rent,22500.0,education,10.99,3.0,689,no,1
22,male,high_school,16218.0,1,mortgage,2000.0,personal,5.42,4.0,614,no,1
25,female,bachelor,16211.0,2,own,1750.0,personal,13.61,3.0,597,yes,0
21,female,bachelor,51922.0,3,rent,22500.0,education,12.73,3.0,673,no,1
24,male,associate,50309.0,3,rent,22500.0,home_improvement,11.01,3.0,625,no,1
25,male,high_school,16378.0,0,own,3000.0,debt_consolidation,12.87,4.0,603,no,1
24,male,bachelor,16572.0,0,mortgage,3650.0,home_improvement,9.91,3.0,589,no,1
26,male,master,162994.25,5,mortgage,20000.0,home_improvement,11.49,4.0,670,yes,0
24,male,high_school,162994.25,0,rent,6000.0,medical,11.01,4.0,508,yes,0
24,male,high_school,16470.0,2,mortgage,4500.0,debt_consolidation,11.83,4.0,643,no,1
23,male,high_school,16599.0,0,own,2400.0,debt_consolidation,13.49,2.0,505,no,1
22,male,bachelor,51608.0,0,rent,22500.0,medical,14.59,2.0,593,no,1
26,female,master,58516.0,6,rent,22500.0,education,9.64,4.0,686,no,1
25,female,associate,16395.0,4,own,3600.0,medical,14.59,3.0,646,no,1
22,female,bachelor,16890.0,0,own,4750.0,education,11.01,3.0,645,no,1
25,female,associate,51747.0,3,rent,22500.0,education,16.35,3.0,697,no,1
21,male,high_school,59864.0,0,rent,22500.0,education,10.99,2.0,648,no,1
26,male,bachelor,162994.25,5,rent,3000.0,education,9.32,4.0,681,no,0
23,female,associate,162994.25,0,rent,7500.0,debt_consolidation,8.63,2.0,646,no,0
22,male,associate,60501.0,0,rent,22500.0,personal,11.83,3.0,687,no,1
23,male,high_school,60754.0,1,rent,22500.0,debt_consolidation,7.9,3.0,650,no,1
25,male,bachelor,60829.0,0,rent,22500.0,home_improvement,5.99,2.0,588,no,1
24,male,bachelor,53825.0,2,rent,22500.0,debt_consolidation,15.33,2.0,652,no,1
23,male,high_school,60801.0,0,rent,22500.0,venture,11.83,4.0,658,no,1
22,male,high_school,60747.0,0,rent,22500.0,venture,10.36,2.0,634,no,1
22,female,high_school,61029.0,0,rent,22500.0,venture,12.23,3.0,623,no,1
22,female,associate,63236.0,0,rent,22500.0,education,11.11,4.0,635,no,1
23,female,bachelor,17149.0,0,own,4950.0,debt_consolidation,7.9,4.0,531,no,1
23,male,associate,162994.25,2,mortgage,21000.0,debt_consolidation,8.9,3.0,703,no,0
26,female,bachelor,162994.25,4,mortgage,20000.0,education,14.22,2.0,594,no,0
26,male,high_school,162994.25,2,mortgage,12000.0,education,7.88,2.0,626,yes,0
23,male,high_school,63497.0,0,rent,22500.0,personal,13.22,2.0,695,no,1
26,female,doctorate,56325.0,2,rent,22500.0,debt_consolidation,11.86,4.0,690,no,1
22,male,bachelor,64842.0,0,rent,22500.0,education,13.43,4.0,574,no,1
26,female,high_school,57856.0,0,rent,22500.0,home_improvement,15.28,2.0,602,no,1
23,male,associate,57318.0,0,rent,22500.0,venture,17.93,2.0,679,no,1
23,female,high_school,16916.0,2,mortgage,1400.0,education,9.25,4.0,615,no,0
21,male,master,16664.0,0,own,4500.0,venture,12.98,4.0,601,no,1
22,male,associate,162994.25,0,mortgage,16000.0,venture,10.62,4.0,577,yes,0
26,female,associate,162994.25,3,own,22000.0,personal,11.83,4.0,588,yes,0
26,male,bachelor,58602.0,8,rent,22500.0,venture,18.43,2.0,595,no,1
22,male,high_school,67012.0,2,rent,22500.0,education,11.01,4.0,653,no,1
24,female,master,66643.0,3,rent,22500.0,home_improvement,11.01,4.0,663,no,1
23,male,bachelor,66599.0,0,rent,22500.0,education,11.36,3.0,653,no,1
23,male,associate,67212.0,2,rent,22500.0,education,15.65,3.0,598,no,1
24,female,high_school,66918.0,1,rent,22500.0,personal,13.22,4.0,630,no,1
26,male,associate,68066.0,2,rent,22500.0,debt_consolidation,12.87,2.0,637,no,1
24,male,associate,162994.25,1,own,20000.0,medical,13.04,3.0,660,yes,0
23,male,associate,162994.25,0,mortgage,22000.0,education,17.58,3.0,639,no,1
23,male,high_school,17859.0,0,own,7750.0,personal,17.04,4.0,626,no,1
24,female,associate,72608.0,3,rent,22500.0,personal,10.99,3.0,612,no,1
24,male,bachelor,73073.0,1,rent,22500.0,personal,11.11,3.0,628,no,1
26,female,master,65880.0,2,rent,22500.0,debt_consolidation,14.83,2.0,592,no,1
23,male,high_school,17755.0,1,own,4000.0,debt_consolidation,11.01,3.0,580,no,1
24,male,bachelor,162994.25,3,rent,12000.0,medical,12.69,2.0,634,no,0
24,male,associate,162994.25,3,mortgage,12000.0,home_improvement,13.49,2.0,678,no,0
21,male,high_school,162994.25,0,mortgage,16000.0,education,14.65,4.0,557,yes,0
25,male,bachelor,65742.0,3,rent,22500.0,home_improvement,16.82,4.0,672,no,1
23,male,bachelor,72713.0,0,rent,22500.0,personal,12.73,3.0,613,no,1
23,male,high_school,72627.0,3,rent,22500.0,personal,10.25,4.0,566,no,1
21,male,associate,72843.0,0,rent,22500.0,education,10.99,4.0,718,no,1
22,female,high_school,68824.0,0,rent,22500.0,home_improvement,14.96,3.0,634,no,1
26,male,high_school,162994.25,3,mortgage,15000.0,education,14.79,3.0,626,yes,0
25,male,high_school,162994.25,2,mortgage,15500.0,debt_consolidation,11.99,2.0,659,no,0
24,female,high_school,162994.25,4,rent,10000.0,education,8.49,4.0,604,yes,0
24,male,associate,80145.0,1,rent,22500.0,education,9.91,2.0,636,no,1
22,male,master,80303.0,0,rent,22500.0,education,13.06,3.0,554,no,1
22,male,high_school,162994.25,0,mortgage,9000.0,debt_consolidation,6.17,4.0,587,yes,0
25,male,bachelor,162994.25,4,rent,18000.0,education,16.32,3.0,708,yes,0
25,female,master,162994.25,2,mortgage,12000.0,venture,10.38,2.0,669,yes,0
25,male,associate,162994.25,2,mortgage,22500.0,personal,14.35,3.0,578,no,0
24,male,bachelor,162994.25,5,mortgage,20000.0,debt_consolidation,11.01,3.0,615,no,0
24,female,master,72919.0,1,rent,22500.0,debt_consolidation,11.01,2.0,553,no,1
21,male,master,18008.0,0,own,3000.0,home_improvement,11.01,4.0,635,no,1
26,female,associate,81238.0,3,rent,22500.0,personal,15.21,2.0,531,no,1
23,male,high_school,80868.0,1,rent,22500.0,education,7.9,4.0,621,no,1
24,male,bachelor,81537.0,1,rent,22500.0,venture,10.99,3.0,674,no,1
24,female,associate,82741.0,0,rent,22500.0,personal,14.09,3.0,688,no,1
25,female,high_school,83901.0,3,rent,22500.0,personal,17.49,2.0,597,no,1
25,male,associate,162994.25,1,mortgage,12000.0,education,11.48,3.0,640,no,0
26,female,associate,162994.25,0,mortgage,20000.0,venture,17.74,2.0,621,no,1
26,female,bachelor,162994.25,5,mortgage,3000.0,personal,13.92,3.0,608,yes,0
25,male,bachelor,85284.0,3,rent,22500.0,education,15.21,3.0,653,no,1
22,female,bachelor,18152.0,0,own,4000.0,medical,10.99,3.0,585,no,1
24,female,high_school,84871.0,3,rent,22500.0,education,11.86,4.0,569,no,1
24,male,bachelor,18294.0,2,own,6000.0,personal,7.49,3.0,587,no,1
24,male,bachelor,68029.0,1,rent,22500.0,medical,16.49,4.0,631,no,1
25,female,high_school,80001.0,4,rent,22500.0,venture,15.33,2.0,592,no,1
26,female,high_school,79875.0,6,rent,22500.0,home_improvement,11.58,4.0,679,no,1
25,male,high_school,18449.0,1,own,5375.0,education,5.79,2.0,645,no,1
25,male,associate,88153.0,0,rent,22500.0,medical,13.11,2.0,669,no,1
23,female,bachelor,90109.0,0,rent,22500.0,medical,10.36,3.0,653,no,1
25,male,bachelor,90938.0,1,rent,22500.0,debt_consolidation,10.36,2.0,577,no,1
24,male,high_school,162994.25,0,rent,22000.0,medical,11.01,2.0,668,yes,0
21,male,bachelor,162994.25,0,mortgage,20000.0,venture,6.54,4.0,629,no,0
25,female,associate,162994.25,4,mortgage,10000.0,medical,12.53,4.0,643,no,0
26,male,bachelor,162994.25,0,mortgage,15000.0,personal,11.01,3.0,626,no,0
22,male,bachelor,162994.25,0,mortgage,10000.0,venture,11.01,3.0,560,yes,0
24,male,bachelor,90938.0,0,rent,22500.0,education,10.25,4.0,648,no,1
22,male,associate,86284.0,0,rent,22500.0,education,15.95,4.0,648,no,1
26,male,associate,162994.25,3,mortgage,20000.0,venture,12.18,4.0,669,yes,0
23,male,high_school,94789.0,1,rent,22500.0,debt_consolidation,11.01,2.0,548,no,1
23,female,master,94780.0,0,rent,22500.0,venture,10.62,3.0,667,no,1
23,male,high_school,95298.0,0,rent,22500.0,venture,10.74,3.0,676,no,1
25,male,associate,162994.25,1,own,10000.0,venture,10.25,4.0,570,yes,0
25,female,bachelor,162994.25,2,rent,15000.0,venture,15.27,2.0,652,yes,0
24,female,high_school,75240.0,1,rent,22500.0,medical,15.33,2.0,625,no,1
23,female,high_school,96143.0,1,rent,22500.0,venture,15.21,2.0,642,no,1
21,male,bachelor,18064.0,0,own,6250.0,venture,14.72,2.0,580,no,1
24,male,associate,96627.0,2,rent,22500.0,personal,15.7,2.0,622,no,1
24,male,bachelor,96309.0,3,rent,22500.0,education,13.35,4.0,581,no,1
21,female,high_school,18421.0,1,mortgage,1500.0,medical,11.01,4.0,623,no,0
24,male,master,96836.0,1,rent,22500.0,education,6.62,2.0,583,no,1
26,male,bachelor,96947.0,4,rent,22500.0,debt_consolidation,13.61,4.0,645,no,1
26,male,associate,162994.25,3,own,5000.0,personal,7.68,2.0,659,yes,0
24,female,bachelor,162994.25,0,rent,22000.0,home_improvement,14.46,4.0,655,yes,0
23,male,associate,162994.25,2,own,2500.0,education,11.83,2.0,583,yes,0
24,female,associate,162994.25,0,mortgage,20000.0,debt_consolidation,13.47,4.0,582,no,1
24,female,bachelor,162994.25,1,mortgage,20000.0,medical,11.49,3.0,504,yes,0
22,male,high_school,162994.25,0,mortgage,1000.0,education,11.01,2.0,551,yes,0
25,female,associate,162994.25,1,mortgage,15000.0,personal,6.03,3.0,529,yes,0
23,female,bachelor,89818.0,0,rent,22500.0,debt_consolidation,16.35,4.0,674,no,1
26,female,high_school,90006.0,4,rent,22500.0,debt_consolidation,11.01,4.0,595,no,1
25,female,high_school,98704.0,6,rent,22500.0,debt_consolidation,7.29,3.0,597,no,1
23,male,high_school,98967.0,5,rent,22500.0,medical,11.36,3.0,566,no,1
24,male,high_school,99435.0,3,rent,22500.0,venture,10.25,2.0,666,no,0
24,female,bachelor,100658.0,1,rent,22500.0,education,11.12,3.0,695,no,0
24,female,bachelor,100435.0,2,rent,22500.0,personal,12.92,3.0,576,yes,0
24,male,high_school,162994.25,5,rent,18000.0,education,18.64,4.0,651,yes,0
23,male,master,18512.0,1,own,4000.0,home_improvement,16.7,2.0,566,no,1
22,male,master,18367.0,0,own,2100.0,personal,11.14,4.0,583,no,0
22,female,associate,102317.0,0,rent,22500.0,personal,18.3,4.0,586,yes,0
24,female,associate,103400.0,4,rent,22500.0,medical,10.62,4.0,592,yes,0
24,male,bachelor,162994.25,2,mortgage,14000.0,venture,11.99,2.0,598,yes,0
26,male,master,162994.25,1,mortgage,12000.0,venture,9.63,4.0,637,yes,0
25,female,high_school,162994.25,5,mortgage,10000.0,medical,18.25,4.0,628,no,1
23,male,master,18831.0,0,mortgage,6000.0,debt_consolidation,11.01,4.0,667,no,1
24,male,associate,105349.0,5,rent,22500.0,home_improvement,14.84,3.0,621,yes,0
24,male,bachelor,91184.0,1,rent,22500.0,venture,14.7,3.0,668,no,1
23,female,high_school,91886.0,1,rent,22500.0,debt_consolidation,16.02,4.0,544,no,1
23,male,associate,80452.0,2,rent,22500.0,medical,15.37,2.0,699,no,1
25,female,bachelor,108758.0,2,rent,22500.0,medical,10.99,4.0,611,no,0
21,male,associate,18916.0,0,own,6200.0,home_improvement,7.9,2.0,615,no,1
24,female,high_school,162994.25,0,own,21000.0,education,11.48,3.0,577,yes,0
25,male,high_school,162994.25,1,own,20000.0,medical,14.26,4.0,657,yes,0
26,male,associate,162994.25,5,own,10000.0,home_improvement,8.0,4.0,676,yes,0
25,male,bachelor,162994.25,0,mortgage,9950.0,venture,11.26,2.0,601,no,0
23,female,master,19000.0,2,own,4475.0,medical,11.01,4.0,647,no,1
23,female,master,94363.0,0,rent,22500.0,venture,16.32,3.0,576,no,1
25,male,master,80570.0,3,rent,22500.0,medical,17.93,4.0,612,no,1
23,male,bachelor,109167.0,0,rent,22500.0,debt_consolidation,11.36,3.0,678,no,0
24,female,associate,95753.0,1,rent,22500.0,debt_consolidation,14.96,4.0,542,no,1
24,female,associate,110935.0,1,rent,22500.0,personal,13.43,3.0,709,yes,0
25,male,associate,111490.0,2,rent,22500.0,home_improvement,12.69,3.0,622,yes,0
24,male,associate,111729.0,4,rent,22500.0,venture,12.73,4.0,642,yes,0
23,female,high_school,113396.0,0,rent,22500.0,venture,15.21,4.0,660,no,0
23,female,bachelor,19175.0,1,mortgage,1750.0,medical,12.68,3.0,587,yes,0
23,female,high_school,85787.0,0,rent,22500.0,medical,19.04,4.0,646,no,1
25,female,master,102114.0,7,rent,22500.0,debt_consolidation,15.95,3.0,637,no,1
26,male,bachelor,162994.25,5,mortgage,2600.0,venture,8.9,4.0,718,no,0
25,male,master,162994.25,4,mortgage,8000.0,home_improvement,7.9,2.0,588,yes,0
22,male,associate,162994.25,0,mortgage,18000.0,education,11.01,2.0,652,no,0
23,male,bachelor,162994.25,0,mortgage,21000.0,personal,11.99,3.0,620,yes,0
23,male,high_school,19062.0,2,own,4000.0,debt_consolidation,13.98,4.0,667,no,1
23,female,associate,18926.0,0,own,4600.0,venture,10.99,2.0,688,no,1
22,male,associate,106694.0,0,rent,22500.0,debt_consolidation,15.58,2.0,667,no,1
25,male,master,90718.0,4,rent,22500.0,medical,10.99,2.0,692,no,1
25,male,bachelor,106668.0,1,rent,22500.0,venture,14.96,4.0,562,no,1
25,male,high_school,19158.0,4,own,1750.0,home_improvement,15.31,4.0,625,yes,0
26,male,high_school,106419.0,5,rent,22500.0,venture,15.65,3.0,649,no,1
25,female,high_school,120696.0,3,rent,22500.0,venture,9.33,4.0,545,yes,0
23,male,high_school,19065.0,3,mortgage,3600.0,personal,13.47,4.0,540,no,1
24,female,associate,124083.0,0,rent,22500.0,personal,10.36,3.0,637,yes,0
24,male,associate,111673.0,4,rent,22500.0,home_improvement,16.77,4.0,600,no,1
23,male,high_school,112633.0,1,rent,22500.0,debt_consolidation,14.59,2.0,633,no,1
22,male,high_school,162994.25,0,rent,3500.0,venture,11.91,2.0,588,no,0
23,female,associate,162994.25,2,mortgage,7200.0,education,8.38,3.0,624,yes,0
25,male,high_school,162994.25,7,rent,9000.0,venture,10.59,3.0,525,yes,0
25,male,high_school,162994.25,3,mortgage,8800.0,debt_consolidation,14.27,3.0,616,yes,0
26,female,master,162994.25,3,rent,12000.0,debt_consolidation,12.53,4.0,675,no,0
26,male,master,162994.25,2,mortgage,10000.0,venture,11.71,4.0,585,yes,0
21,male,master,18773.0,0,own,3175.0,home_improvement,11.54,3.0,686,no,1
25,female,bachelor,116439.0,2,rent,22500.0,home_improvement,15.68,4.0,595,no,1
21,female,associate,19169.0,2,mortgage,1500.0,education,10.59,2.0,537,yes,0
24,female,high_school,118417.0,0,rent,22500.0,home_improvement,12.61,2.0,625,no,1
26,female,high_school,133476.0,0,rent,22500.0,personal,11.01,2.0,641,yes,0
23,female,associate,19312.0,4,mortgage,2800.0,personal,8.49,3.0,661,no,1
24,male,bachelor,162994.25,4,rent,18000.0,debt_consolidation,8.9,4.0,537,yes,0
25,female,high_school,162994.25,6,mortgage,10000.0,medical,11.11,4.0,646,yes,0
26,female,associate,162994.25,3,rent,13000.0,venture,12.42,3.0,654,no,0
24,male,associate,100758.0,0,rent,22500.0,medical,11.01,2.0,635,no,1
24,female,master,133231.0,3,rent,22500.0,home_improvement,15.7,2.0,675,yes,0
22,female,master,18923.0,0,own,2500.0,home_improvement,12.53,3.0,618,no,1
25,female,master,161894.0,0,rent,5000.0,medical,16.49,2.0,609,no,1
25,female,bachelor,162994.25,0,mortgage,20000.0,education,7.49,2.0,545,yes,0
22,female,high_school,121617.0,2,rent,22500.0,debt_consolidation,14.96,2.0,629,no,1
25,male,associate,136206.0,6,rent,22500.0,medical,12.73,4.0,539,no,0
24,male,master,144915.0,4,rent,22500.0,education,10.65,4.0,593,yes,0
25,female,high_school,145233.0,3,rent,22500.0,medical,10.74,2.0,683,no,0
23,male,bachelor,145002.0,1,rent,22500.0,education,9.99,2.0,670,yes,0
24,male,master,110953.0,0,rent,22500.0,medical,15.33,2.0,662,no,1
21,female,high_school,19414.0,2,own,1000.0,venture,7.29,4.0,681,yes,0
26,male,high_school,130096.0,1,rent,22500.0,personal,15.05,3.0,636,no,1
26,male,master,157292.0,0,rent,22500.0,personal,10.75,3.0,677,yes,0
23,female,bachelor,156995.0,3,rent,22500.0,education,16.02,2.0,656,yes,0
23,female,associate,156952.0,0,rent,22500.0,venture,11.49,4.0,674,yes,0
25,female,associate,162994.25,6,own,20000.0,education,12.53,4.0,587,no,0
26,female,bachelor,162994.25,2,mortgage,12000.0,venture,13.57,2.0,658,no,0
22,male,high_school,162994.25,4,rent,14000.0,personal,11.14,3.0,581,yes,0
23,female,associate,162994.25,0,rent,20000.0,education,11.58,3.0,648,no,0
24,female,associate,162994.25,3,rent,1800.0,home_improvement,11.12,3.0,563,yes,0
24,male,associate,161487.0,1,rent,22500.0,debt_consolidation,10.37,2.0,641,no,0
24,male,associate,19677.0,3,own,3300.0,home_improvement,6.39,4.0,637,no,1
24,male,high_school,161952.0,2,rent,22500.0,personal,16.07,3.0,578,yes,0
25,female,bachelor,161560.0,0,rent,22500.0,medical,10.62,2.0,660,yes,0
25,male,high_school,19423.0,3,own,3200.0,venture,18.09,2.0,586,no,1
25,male,associate,162994.25,5,rent,22500.0,education,11.36,4.0,567,yes,0
26,female,bachelor,162994.25,5,rent,22500.0,debt_consolidation,12.53,4.0,582,yes,0
23,female,master,162994.25,0,mortgage,9600.0,education,5.99,3.0,532,yes,0
24,male,master,162994.25,6,mortgage,20000.0,personal,10.37,4.0,658,no,0
21,male,bachelor,162994.25,0,mortgage,20000.0,education,6.91,4.0,681,yes,0
23,male,associate,20044.0,3,own,6000.0,medical,7.9,2.0,618,no,1
23,female,bachelor,20401.0,4,mortgage,2275.0,debt_consolidation,13.06,4.0,573,yes,0
23,female,high_school,19859.0,0,own,2000.0,personal,6.39,3.0,498,yes,0
23,female,high_school,20421.0,0,mortgage,5600.0,medical,12.84,4.0,587,no,1
24,male,master,20353.0,2,own,3625.0,venture,17.14,2.0,648,no,1
22,male,master,20297.0,0,mortgage,5500.0,venture,7.14,3.0,687,no,1
22,female,high_school,20405.0,0,own,2000.0,personal,12.42,3.0,590,yes,0
25,male,associate,20221.0,5,own,5000.0,personal,8.94,4.0,572,no,1
23,male,bachelor,20678.0,0,own,4375.0,venture,9.63,4.0,528,no,1
25,female,high_school,60742.0,3,rent,22500.0,personal,14.22,3.0,638,no,1
23,female,high_school,72805.0,2,rent,22500.0,debt_consolidation,9.33,3.0,655,no,1
24,male,master,102011.0,3,rent,22500.0,medical,13.85,4.0,627,yes,0
22,male,high_school,20896.0,0,mortgage,2000.0,education,10.65,2.0,596,no,0
24,female,bachelor,111283.0,0,rent,22500.0,medical,11.46,4.0,694,no,0
24,female,bachelor,162994.25,0,mortgage,12000.0,venture,16.77,4.0,547,no,0
25,female,bachelor,162994.25,0,mortgage,12000.0,personal,9.63,4.0,586,yes,0
25,male,master,152227.0,2,mortgage,10000.0,medical,14.09,4.0,639,no,1
25,female,bachelor,65399.0,0,rent,22500.0,personal,13.98,4.0,663,no,1
23,female,high_school,75928.0,4,rent,22500.0,education,10.62,4.0,528,no,1
24,male,bachelor,21627.0,0,mortgage,3900.0,debt_consolidation,11.01,3.0,636,no,1
25,male,high_school,83235.0,3,rent,22500.0,personal,17.56,4.0,603,no,1
26,male,high_school,68297.0,3,rent,22500.0,medical,14.96,2.0,507,no,1
22,male,master,89977.0,3,rent,22500.0,debt_consolidation,15.65,2.0,692,no,1
24,female,associate,79510.0,2,rent,22500.0,medical,15.7,2.0,604,no,1
24,female,bachelor,109050.0,5,rent,22500.0,venture,12.53,3.0,622,no,0
